url,size,title,price,location
https://sfbay.craigslist.org/eby/apa/5515731030.html,/ 1br - ,Beautiful Loft Style Apartment AVL 6/1: B309,$2595,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519002337.html,/ 3br - ,3 Bedroom Loft Close to Campus AVL 6/1! B306,$4295,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5518996668.html,/ 2br - 2000ft2 - ,Hot Tub, View & North Berkeley Hills,$2550,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5518961788.html,Not Listed,2414 Telegraph, Studio,Vintage building,Walk to CAL, New Pics!!,$1695,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5518953571.html,Not Listed,QUIET nx TO SODA/ETCHEVERRY IDEAL for STUDYING 1 BLK to NORTHSIDE UCB,$1999,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5518975666.html,/ 2br - 750ft2 - ,CONVENIENTLY LOCATED NEAR UC, DOWNTOWN, TRADER JOE'S, BART&EATERIES;,$2200,  (berkeley)   map 
https://sfbay.craigslist.org/eby/apa/5518956573.html,/ 1br - 632ft2 - ,Great Location Along With An Amazing Perk!!,$2405,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5518969550.html,/ 1br - 818ft2 - ,Advent- Sleek and modern design loft available now!,$2495,  (oakland west)   pic map 
https://sfbay.craigslist.org/eby/apa/5486589181.html,/ 1br - 700ft2 - ,Charming Elmwood-Claremont One Bedroom Cottage Now Available!,$3700,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5518967961.html,/ 4br - ,Beautiful Executive Home in Montclair Area,$5400,  (oakland piedmont / montclair)   pic map 
https://sfbay.craigslist.org/eby/apa/5515469395.html,Not Listed,Looking for Studio, 1 or 2 bedroom near UC Campus for June.,$1695,  (berkeley)   map 
https://sfbay.craigslist.org/eby/apa/5518950754.html,/ 2br - 1234ft2 - ,Albany Contemporary 2 Bedroom Condominium Now Available!,$3200,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5518948689.html,/ 390ft2 - ,63rd street,$1100,  (oakland north / temescal)   map 
https://sfbay.craigslist.org/eby/apa/5506632140.html,/ 2br - ,Nobody above or below you! Hardwood flrs/Balcony/Granite Kitchen!!,$2295,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5504824356.html,/ 3br - 1000ft2 - ,Huge 3 Bedroom unit! Hardwood floors/No Stairs!/walk to EC Plaza BART,$2795,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5518927686.html,Not Listed,Berkeley 2bd/2bath Walk to Campus,$2550,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5518926290.html,Not Listed,2 Bedroom apartment close to UC Berkeley,$1600,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5518917693.html,/ 3br - ,3 Bedroom Apartment, 1 mile from campus,$3495,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5495838509.html,/ 3br - 1850ft2 - ,Emeryville tech area nr Berkeley,$3795,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5495291466.html,/ 2br - 1100ft2 - ,Super Charming Bungalow on Quiet Street,$3295,  (oakland north / temescal)   pic map 
https://sfbay.craigslist.org/eby/apa/5489863640.html,/ 3br - 1400ft2 - ,Beyond the Claremont Hotel,$2995,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5486908953.html,/ 2br - 1200ft2 - ,upper Floor w balcony,$2865,  (oakland rockridge / claremont)   pic map 
https://sfbay.craigslist.org/eby/apa/5518904431.html,/ 4br - ,Beautiful bungalow near Temescal perfect for roommates, commuters,$4100,  (oakland west)   pic map 
https://sfbay.craigslist.org/eby/apa/5511298050.html,/ 1br - 900ft2 - ,Huge 1-bed Victorian walk to UC Berkeley shops secure avail JUNE 1s,$2899,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5518888331.html,/ 1br - ,1 Bedroom with Home Office 1.5 Bath in Quiet Residential Neighborhood,$2600,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5485362365.html,/ 2br - 875ft2 - ,Exclusive Living on a Quiet Neighborhood of Berkeley,$3250,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5476896348.html,/ 2br - 750ft2 - ,Spacious 2 Bedroom Apartment on the Upper level, in a quiet 4-plex.,$2175,   pic map 
https://sfbay.craigslist.org/eby/apa/5503695253.html,/ 3br - ,Enjoy living in this Charming 3 bedroom 1 Bath home in Rockridge home,$3900,  (oakland rockridge / claremont)   pic map 
https://sfbay.craigslist.org/eby/apa/5500552841.html,/ 2br - 1144ft2 - ,12th Floor San Francisco Bay view - UNDER RENOVATIONPacific Park Plaza,$4000,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5500549967.html,/ 2br - 1144ft2 - ,29th floor San Francisco view Custom Penthouse -Pacific Park Plaza,$4000,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5500548788.html,/ 2br - 1144ft2 - ,23rd Floor San Francisco Bay view - Pacific Park Plaza rental,$3600,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5500559769.html,/ 2br - 1369ft2 - ,21st Floor San Francisco, Golden Gate, Aquatic Park,$3800,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5515462612.html,Not Listed,studio close to UC. Available May 1st,$1895,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5515488949.html,/ 1br - ,Top floor 1 BR apartment near UC. Available June 1st.,$2495,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5515497445.html,Not Listed,Top floor studio near UC Berkeley. Available June 1st,$1995,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5501823690.html,/ 1br - ,SPACIOUS ONE BEDROOM ON CLAREMONT AVE., TEMESCAL DISTRICT,$1995,  (oakland north / temescal)   pic map 
https://sfbay.craigslist.org/eby/apa/5501829224.html,Not Listed,SPACIOUS STUDIO ON CLAREMONT AVE., NEAR ROCKRIDGE,$1495,  (oakland north / temescal)   pic map 
https://sfbay.craigslist.org/eby/apa/5501833677.html,Not Listed,SMALL STUDIO ON CLAREMONT AVE., NEAR ROCKRIDGE,$1295,  (oakland north / temescal)   pic map 
https://sfbay.craigslist.org/eby/apa/5518851929.html,/ 2br - 890ft2 - ,Walking distance to the Children's Hospital, Cozy 2 bedrooms Unit!!!,$2800,  (oakland north / temescal)   pic map 
https://sfbay.craigslist.org/eby/apa/5518687283.html,/ 1br - 1025ft2 - ,The Location You Want, The Apartment Home You Deserve...,$3150,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5518486013.html,/ 1br - 1025ft2 - ,1 BD/1BA Close to Transportation with Everything at your Doorstep!,$3150,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5518835787.html,/ 1br - 1025ft2 - ,Spacious 1BD, Amazing Views, Stainless Steel, Private Laundry,$3150,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5482304769.html,/ 1br - 658ft2 - ,FurnishedGorgeousCondoBridgewaterGymPoolClubhsWalk2CarpoolShops6400,$2395,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5489599938.html,/ 2br - 575ft2 - ,Marvelous Cottage, Updated from Grounds Up, 3 Blocks to BART 864-5,$2295,  (oakland north / temescal)   pic map 
https://sfbay.craigslist.org/eby/apa/5518817411.html,/ 2br - ,2 bedrooms, 2 baths..OPEN HOUSE 4/1 5:30-6!,$3355,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5508012891.html,/ 1br - ,Beautiful 1 Bdrm Apt 1/2 OFF FIRST MONTHS RENT,$1995,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5506287944.html,/ 1br - ,Beautiful 1 Bdrm Apt 1/2 OFF FIRST MONTHS RENT,$1995,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5487155342.html,/ 1br - ,Move In Specials At Hillside Gardens 1/2 off first months rent!,$1995,  (albany / el cerrito)   pic map 
